Type of professional,Year,Jurisdiction of registration,Hospital,Community health,Nursing home long0term care,Other,Not stated
Registered nurses,2020,Nova Scotia,6066,923,877,574,1
Registered nurses,2020,New Brunswick,4799,948,754,411,0
Registered nurses,2020,Quebec,40884,8660,7439,4829,0
Registered nurses,2020,Ontario,62506,11565,7329,7338,14
Registered nurses,2020,Manitoba,0,0,0,0,0
Registered nurses,2020,Saskatchewan,6373,1682,941,692,0
Registered nurses,2020,Alberta,21324,6049,2144,2787,0
Registered nurses,2020,British Columbia,22723,5687,2369,2201,0
Registered nurses,2020,Yukon,261,135,32,22,1
Registered nurses,2020,Northwest Territories/Nunavut,400,369,7,66,0
Registered psychiatric nurses,2020,Manitoba,410,241,107,109,0
Registered psychiatric nurses,2020,Saskatchewan,205,193,142,80,0
Registered psychiatric nurses,2020,Alberta,657,282,74,66,1
Registered psychiatric nurses,2020,British Columbia,1061,1012,131,177,0
Registered psychiatric nurses,2020,Yukon,0,0,0,0,0
Registered psychiatric nurses,2020,Northwest Territories/Nunavut,0,0,0,0,0
Licensed practical nurses,2020,Newfoundland and Labrador,729,170,1244,57,1
Licensed practical nurses,2020,Prince Edward Island,303,56,207,139,0
Licensed practical nurses,2020,Nova Scotia,1815,768,1399,89,0
Licensed practical nurses,2020,New Brunswick,1323,167,1053,128,0
Licensed practical nurses,2020,Quebec,16636,590,4585,3580,0
Licensed practical nurses,2020,Ontario,19467,8521,16471,2734,16
Licensed practical nurses,2020,Manitoba,1231,428,1417,171,0
Licensed practical nurses,2020,Saskatchewan,1652,825,663,135,0
Licensed practical nurses,2020,Alberta,5227,3741,3530,562,0
Licensed practical nurses,2020,British Columbia,4241,1441,4827,676,43
Licensed practical nurses,2020,Yukon,0,0,0,0,0
Licensed practical nurses,2020,Northwest Territories,43,14,62,16,0
Licensed practical nurses,2020,Nunavut,0,0,0,0,0
Licensed practical nurses,2020,Northwest Territories/Nunavut,0,0,0,0,0
Nurse practitioners,2021,Newfoundland and Labrador,84,67,18,25,0
Nurse practitioners,2021,Prince Edward Island,0,0,0,0,0
Nurse practitioners,2021,Nova Scotia,81,112,2,26,0
Nurse practitioners,2021,New Brunswick,21,98,4,23,0
Nurse practitioners,2021,Quebec,302,511,45,42,10
Nurse practitioners,2021,Ontario,1360,967,116,1101,0
Nurse practitioners,2021,Manitoba,0,0,0,0,0
Nurse practitioners,2021,Saskatchewan,25,140,8,36,0
Nurse practitioners,2021,Alberta,291,157,31,94,0
Nurse practitioners,2021,British Columbia,138,328,10,99,2
Nurse practitioners,2021,Yukon,1,8,4,9,0
Nurse practitioners,2021,Northwest Territories/Nunavut,0,31,0,10,0
Registered nurses,2021,Newfoundland and Labrador,3654,831,397,306,0
Registered nurses,2021,Prince Edward Island,0,0,0,0,0
Registered nurses,2021,Nova Scotia,6168,962,907,635,0
Registered nurses,2021,New Brunswick,4677,951,719,447,0
Registered nurses,2021,Quebec,42129,8601,6935,5388,1026
Registered nurses,2021,Ontario,62968,12063,7243,7621,20
Registered nurses,2021,Manitoba,0,0,0,0,0
Registered nurses,2021,Saskatchewan,6511,1737,914,708,0
Registered nurses,2021,Alberta,20929,6058,2249,2861,0
Registered nurses,2021,British Columbia,23709,6414,2370,2375,36
Registered nurses,2021,Yukon,267,138,35,37,1
Registered nurses,2021,Northwest Territories/Nunavut,404,413,7,70,0
Registered psychiatric nurses,2021,Manitoba,427,253,96,128,0
Registered psychiatric nurses,2021,Saskatchewan,198,216,136,87,3
Registered psychiatric nurses,2021,Alberta,624,289,81,72,0
Registered psychiatric nurses,2021,British Columbia,1109,1152,135,194,0
Registered psychiatric nurses,2021,Yukon,0,0,0,0,0
Registered psychiatric nurses,2021,Northwest Territories/Nunavut,0,0,0,0,0
Licensed practical nurses,2021,Newfoundland and Labrador,737,172,1309,81,0
Licensed practical nurses,2021,Prince Edward Island,303,54,205,131,0
Licensed practical nurses,2021,Nova Scotia,1810,782,1492,95,0
Licensed practical nurses,2021,New Brunswick,0,0,0,0,0
Licensed practical nurses,2021,Quebec,16025,642,4120,3726,0
Licensed practical nurses,2021,Ontario,20674,8013,16378,2938,18
Licensed practical nurses,2021,Manitoba,1272,498,1468,134,0
Licensed practical nurses,2021,Saskatchewan,1627,804,664,160,0
Licensed practical nurses,2021,Alberta,5299,3759,3873,730,0
Licensed practical nurses,2021,British Columbia,4472,1686,5036,762,45
Licensed practical nurses,2021,Yukon,0,0,0,0,0
Licensed practical nurses,2021,Northwest Territories,0,0,0,0,0
Licensed practical nurses,2021,Nunavut,0,0,0,0,0
Licensed practical nurses,2021,Northwest Territories/Nunavut,0,0,0,0,0
Nurse practitioners,2022,Newfoundland and Labrador,93,75,15,35,0
Nurse practitioners,2022,Prince Edward Island,7,36,5,6,0
Nurse practitioners,2022,Nova Scotia,92,125,3,31,0
Nurse practitioners,2022,New Brunswick,28,107,5,18,0
Nurse practitioners,2022,Quebec,0,0,0,0,0
Nurse practitioners,2022,Ontario,1457,1066,118,1156,0
Nurse practitioners,2022,Manitoba,0,0,0,0,0
Nurse practitioners,2022,Saskatchewan,29,160,7,40,0
Nurse practitioners,2022,Alberta,280,169,33,99,0
Nurse practitioners,2022,British Columbia,139,408,9,104,5
Nurse practitioners,2022,Yukon,4,7,3,6,0
Nurse practitioners,2022,Northwest Territories/Nunavut,0,0,0,0,0
Registered nurses,2022,Newfoundland and Labrador,3600,880,410,293,0
Registered nurses,2022,Prince Edward Island,0,0,0,0,0
Registered nurses,2022,Nova Scotia,6117,1095,901,707,0
Registered nurses,2022,New Brunswick,4458,1009,708,512,0
Registered nurses,2022,Quebec,0,0,0,0,0
Registered nurses,2022,Ontario,62586,13154,6873,8056,23
Registered nurses,2022,Manitoba,0,0,0,0,0
Registered nurses,2022,Saskatchewan,6652,1871,845,727,0
Registered nurses,2022,Alberta,20555,6430,2171,2952,1
Registered nurses,2022,British Columbia,23726,6846,2199,2539,82
Registered nurses,2022,Yukon,318,154,29,55,0
Registered nurses,2022,Northwest Territories/Nunavut,447,454,10,86,0
Registered psychiatric nurses,2022,Manitoba,429,268,88,143,0
Registered psychiatric nurses,2022,Saskatchewan,180,192,126,101,5
Registered psychiatric nurses,2022,Alberta,637,306,67,73,0
Registered psychiatric nurses,2022,British Columbia,1119,1248,129,210,0
Registered psychiatric nurses,2022,Yukon,0,0,0,0,0
Registered psychiatric nurses,2022,Northwest Territories/Nunavut,0,0,0,0,0
Licensed practical nurses,2022,Newfoundland and Labrador,782,185,1256,110,0
Licensed practical nurses,2022,Prince Edward Island,303,57,212,140,0
Licensed practical nurses,2022,Nova Scotia,1974,826,1427,116,1
Licensed practical nurses,2022,New Brunswick,1679,148,910,178,2
Licensed practical nurses,2022,Quebec,15789,680,3857,3896,0
Licensed practical nurses,2022,Ontario,21977,8522,15365,3653,18
Licensed practical nurses,2022,Manitoba,1139,456,1405,193,0
Licensed practical nurses,2022,Saskatchewan,1585,822,658,196,0
Licensed practical nurses,2022,Alberta,5419,3810,3658,957,0
Licensed practical nurses,2022,British Columbia,4575,1877,4876,866,65
Licensed practical nurses,2022,Yukon,0,0,0,0,0
Licensed practical nurses,2022,Northwest Territories,39,20,65,16,4
Licensed practical nurses,2022,Nunavut,0,0,0,0,0
Licensed practical nurses,2022,Northwest Territories/Nunavut,0,0,0,0,0
Nurse practitioners,2023,Newfoundland and Labrador,96,86,21,43,0
Nurse practitioners,2023,Prince Edward Island,7,43,5,9,0
Nurse practitioners,2023,Nova Scotia,0,0,0,0,0
Nurse practitioners,2023,New Brunswick,51,74,3,43,0
Nurse practitioners,2023,Quebec,0,0,0,0,0
Nurse practitioners,2023,Ontario,1517,1097,130,1316,0
Nurse practitioners,2023,Manitoba,0,0,0,0,0
Nurse practitioners,2023,Saskatchewan,37,162,9,36,0
Nurse practitioners,2023,Alberta,295,199,37,109,0
Nurse practitioners,2023,British Columbia,162,456,10,131,5
Nurse practitioners,2023,Yukon,1,12,1,2,0
Nurse practitioners,2023,Northwest Territories/Nunavut,0,0,0,0,0
Registered nurses,2023,Newfoundland and Labrador,3584,865,450,338,3
Registered nurses,2023,Prince Edward Island,960,257,203,174,2
Registered nurses,2023,Nova Scotia,6786,1200,826,156,82
Registered nurses,2023,New Brunswick,3862,919,664,553,0
Registered nurses,2023,Quebec,0,0,0,0,0
Registered nurses,2023,Ontario,62950,13185,7245,8845,13
Registered nurses,2023,Manitoba,0,0,0,0,0
Registered nurses,2023,Saskatchewan,6813,1899,849,691,0
Registered nurses,2023,Alberta,20445,6146,2089,2853,0
Registered nurses,2023,British Columbia,23801,7024,2228,2708,92
Registered nurses,2023,Yukon,286,147,34,47,18
Registered nurses,2023,Northwest Territories/Nunavut,445,432,8,79,0
Registered psychiatric nurses,2023,Manitoba,454,250,86,160,0
Registered psychiatric nurses,2023,Saskatchewan,185,181,124,97,12
Registered psychiatric nurses,2023,Alberta,639,321,68,80,0
Registered psychiatric nurses,2023,British Columbia,1124,1274,128,224,0
Registered psychiatric nurses,2023,Yukon,0,0,0,0,0
Registered psychiatric nurses,2023,Northwest Territories/Nunavut,0,0,0,0,0
Licensed practical nurses,2023,Newfoundland and Labrador,743,184,1158,108,0
Licensed practical nurses,2023,Prince Edward Island,335,81,204,99,0
Licensed practical nurses,2023,Nova Scotia,1734,910,1288,66,294
Licensed practical nurses,2023,New Brunswick,1773,198,892,210,2
Licensed practical nurses,2023,Quebec,16220,709,3716,4075,0
Licensed practical nurses,2023,Ontario,22717,8597,15286,3999,7
Licensed practical nurses,2023,Manitoba,1241,473,1358,148,0
Licensed practical nurses,2023,Saskatchewan,1615,839,674,220,0
Licensed practical nurses,2023,Alberta,5615,3871,3734,1027,0
Licensed practical nurses,2023,British Columbia,4729,1845,4804,904,62
Licensed practical nurses,2023,Yukon,0,0,0,0,0
Licensed practical nurses,2023,Northwest Territories,39,27,74,19,1
Licensed practical nurses,2023,Nunavut,0,0,0,0,0
Licensed practical nurses,2023,Northwest Territories/Nunavut,0,0,0,0,0
